Epoch 1 Batch 10850 Loss 0.8440 Accuracy 0.1404
Epoch 1 Batch 10900 Loss 0.8425 Accuracy 0.1402
Epoch 1 Batch 10950 Loss 0.8411 Accuracy 0.1400
Epoch 1 Batch 11000 Loss 0.8398 Accuracy 0.1398
Epoch 1 Batch 11050 Loss 0.8387 Accuracy 0.1396
Epoch 1 Batch 11100 Loss 0.8376 Accuracy 0.1394
Epoch 1 Batch 11150 Loss 0.8365 Accuracy 0.1393
Epoch 1 Batch 11200 Loss 0.8354 Accuracy 0.1392
Epoch 1 Batch 11250 Loss 0.8344 Accuracy 0.1391
Epoch 1 Batch 11300 Loss 0.8339 Accuracy 0.1390
Epoch 1 Batch 11350 Loss 0.8341 Accuracy 0.1391
Epoch 1 Batch 11400 Loss 0.8346 Accuracy 0.1393
Epoch 1 Batch 11450 Loss 0.8355 Accuracy 0.1396
Epoch 1 Batch 11500 Loss 0.8366 Accuracy 0.1399
Epoch 1 Batch 11550 Loss 0.8380 Accuracy 0.1404
Epoch 1 Batch 11600 Loss 0.8395 Accuracy 0.1408
Epoch 1 Batch 11650 Loss 0.8412 Accuracy 0.1414
Epoch 1 Batch 11700 Loss 0.8430 Accuracy 0.1420
Epoch 1 Batch 11750 Loss 0.8449 Accuracy 0.1427
Epoch 1 Batch 11800 Loss 0.8468 Accuracy 0.1433
Epoch 1 Batch 11850 Loss 0.8487 Accuracy 0.1440
Epoch 1 Batch 11900 Loss 0.8504 Accuracy 0.1446
Epoch 1 Batch 11950 Loss 0.8520 Accuracy 0.1453
Epoch 1 Batch 12000 Loss 0.8535 Accuracy 0.1460
Epoch 1 Batch 12050 Loss 0.8550 Accuracy 0.1467
Epoch 1 Batch 12100 Loss 0.8563 Accuracy 0.1474
Epoch 1 Batch 12150 Loss 0.8578 Accuracy 0.1482
Epoch 1 Batch 12200 Loss 0.8591 Accuracy 0.1489
Epoch 1 Batch 12250 Loss 0.8604 Accuracy 0.1496
Epoch 1 Batch 12300 Loss 0.8620 Accuracy 0.1503
Epoch 1 Batch 12350 Loss 0.8634 Accuracy 0.1509
